_id,ltable_id,rtable_id,ltable_Name,ltable_Sale Price,ltable_Category,ltable_Author,ltable_ISBN10,ltable_Pages,ltable_Publisher,ltable_Language,ltable_Dimensions,ltable_Weight,ltable_Rating,rtable_Name,rtable_Sale Price,rtable_Category,rtable_Author,rtable_ISBN10,rtable_Pages,rtable_Publisher,rtable_Language,rtable_Dimensions,rtable_Weight,rtable_Rating
2,1240,2,Death's End Remembrance of Earth's Past,9.85,Books > Science Fiction & Fantasy > Science Fiction,Cixin Liu,765386631,608.0,Tor Books; Reprint edition ,English,6.3 x 1.6 x 9.3 inches,1.4 pounds,4.6,Death's End,5.15,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,Cixin Liu,765386631,608.0,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 40.77 Inches (US),,
32,2796,5,If Not for You,7.8,Books > Literature & Fiction > Genre Fiction,Debbie Macomber,553391984,448.0,Ballantine Books; Reprint edition ,English,4.3 x 1.2 x 6.9 inches,8 ounces,4.5,IF NOT FOR YOU,7.8,Books > Literature & Fiction > Fiction > Romance > Contemporary,"MACOMBER, DEBBIE",553391984,448.0,Random House,English,7.00 x 4.25 x 1.50 Inches,,
84,1237,13,Norse Mythology Hardcover ,13.8,Books > Literature & Fiction > Literary,Neil Gaiman,039360909X,,W. W. Norton & Company; First Edition edition ,English,5.8 x 1.1 x 8.6 inches,1 pounds,4.3,Norse Mythology,13.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Gaiman, Neil",039360909X,299.0,W W Norton &amp; Co Inc,English,8.50 x 5.75 x 1.25 Inches,,
224,1581,34,Canto Bight Star Wars,16.01,Books > Literature & Fiction > Genre Fiction,Saladin Ahmed Rae Carson John Jackson Miller,152479953X,320.0,Del Rey ,English,6.5 x 1.1 x 9.5 inches,1.2 pounds,3.5,CANTO BIGHT (STAR WARS),16.01,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"AHMED, SALADIN",152479953X,320.0,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,,
263,4,39,The Kremlin Conspiracy Hardcover ,18.29,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Joel C. Rosenberg,1496406176,,"Tyndale House Publishers, Inc. ",English,5.8 x 1.7 x 9.1 inches,1.6 pounds,4.8,The Kremlin Conspiracy,21.61,Books > Summer Reading Books > Beach Reads,Joel C. Rosenberg,1496406176,480.0,"Tyndale House Publishers, Inc.",English,9.00 x 6.00 x 1.25 Inches,,
367,2381,59,The Sleepwalker,12.83,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Chris Bohjalian,804170991,304.0,Vintage; Reprint edition ,English,5.2 x 0.6 x 8 inches,7.8 ounces,4.1,SLEEPWALKER,12.83,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological","BOHJALIAN, CHRIS",804170991,304.0,Random House Inc,English,8.00 x 5.25 x 0.50 Inches,,
416,1169,63,Gray Mountain,8.54,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,345543254,480.0,Dell; 2014 edition ,English,4.2 x 1.1 x 7.5 inches,11.2 ounces,3.8,Gray Mountain,8.54,Books > Literature & Fiction > Fiction > Legal > Best seller ranking: > # > 1432 >  > in > Books > # > 91 >  > in > Books > Literature & Fiction > # > 12 >  > in > Books > Literature & Fiction > Mystery & Suspense,"Grisham, John",345543254,461.0,Random House,English,,,4.5
547,213,75,Camino Island,7.79,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,1524797154,368.0,Dell; Reprint edition ,English,4.2 x 0.9 x 7.6 inches,6.7 ounces,3.9,CAMINO ISLAND,9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GRISHAM, JOHN",1524797154,368.0,,,,,
574,1851,81,A Gathering of Secrets,24.29,"Books > Mystery, Thriller & Suspense > Mystery",Linda Castillo,1250121310,320.0,Minotaur Books ,English,6.1 x 9.2 inches,1.7 pounds,,A Gathering of Secrets,26.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Linda Castillo,1250121310,320.0,St. Martin's PressMinotaur Books,English,,,
759,1553,100,Heartbreak Hotel,9.92,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jonathan Kellerman,345541456,416.0,Ballantine Books; Reprint edition ,English,4.2 x 1 x 7.6 inches,7.7 ounces,4.1,HEARTBREAK HOTEL,9.4,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","KELLERMAN, JONATHAN",345541456,416.0,Random House,English,7.60 x 4.20 x 1.00 Inches (US),,
776,2632,103,Rushing Waters,8.76,Books > Literature & Fiction > Genre Fiction,Danielle Steel,042528543X,384.0,Dell; Reprint edition ,English,4.2 x 1 x 6.9 inches,13.4 ounces,4.4,RUSHING WATERS,8.76,Books > Literature & Fiction > Fiction > Contemporary Women,"STEEL, DANIELLE",042528543X,384.0,Random House,English,7.50 x 4.75 x 1.00 Inches,,
802,1613,109,An Echo of Things to Come The Licanius Trilogy,19.38,Books > Literature & Fiction > World Literature,James Islington,316274119,752.0,Orbit; 1 edition ,English,6.5 x 2.2 x 9.5 inches,2.4 pounds,4.6,An Echo of Things to Come,19.89,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,James Islington,316274119,752.0,Orbit,English,9.50 x 6.50 x 2.25 Inches (US),,
816,34,112,The Wife Between Us,16.19,Books > Literature & Fiction > Women's Fiction,Greer Hendricks Sarah Pekkanen,1250130921,,St. Martin's Press ,English,6.4 x 1.3 x 9.6 inches,1.2 pounds,4.2,The Wife Between Us,21.28,Books > Women's History Month Books > Women's History Month Fiction,Sarah Pekkanen Greer Hendricks,1250130921,352.0,St. Martin's Press,English,9.25 x 155.57 x 33.27 Inches (US),,5.0
922,731,124,One Perfect Lie Paperback ,11.89,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Scottoline,1250099579,384.0,St. Martin's Griffin; Reprint edition ,English,5.6 x 1 x 8.3 inches,11.4 ounces,4.2,One Perfect Lie,13.58,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Lisa Scottoline,1250099579,400.0,St. Martin's PressSt. Martin's Griffin,English,8.25 x 139.70 x 1.00 Inches (US),,
941,1260,126,Girl Last Seen,11.79,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Nina Laurin,145556902X,352.0,Grand Central Publishing ,English,5.2 x 1 x 8.1 inches,8 ounces,3.9,Girl Last Seen,11.61,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Nina Laurin,145556902X,352.0,Grand Central Publishing,English,8.12 x 5.25 x 1.00 Inches (US),,
1021,1856,143,Dynasty of Evil Star Wars,7.08,Books > Literature & Fiction > Action & Adventure,Drew Karpyshyn,345511573,336.0,Del Rey; Reprint edition ,English,4.1 x 0.9 x 6.8 inches,10.4 ounces,4.6,Star Wars,7.08,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure > Best seller ranking: > # > 8428 >  > in > Books > # > 760 >  > in > Books > Literature & Fiction > # > 48 >  > in > Books > Literature & Fiction > Science Fiction,"Karpyshyn, Drew",345511573,319.0,Random House,English,7.00 x 4.25 x 1.00 Inches,,5.0
1062,1362,156,Tom Clancy True Faith and Allegiance A Jack Ryan Novel,6.89,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Mark Greaney,1101988835,736.0,Berkley; Reprint edition ,English,4.2 x 1.5 x 7.6 inches,11.2 ounces,4.6,Tom Clancy True Faith and Allegiance,6.89,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Mark Greaney,1101988835,736.0,BerkleyPenguin Publishing Group,English,7.56 x 4.25 x 1.51 Inches (US),,
1578,2746,210,When We Meet,6.52,Books > Romance > Contemporary,Nora Roberts,373282494,480.0,Silhouette; Combined edition ,English,4.1 x 1.2 x 6.6 inches,7.7 ounces,4.1,WHEN WE MET,6.52,Books > Literature & Fiction > Fiction > Romance > Contemporary,"ROBERTS, NORA",373282494,480.0,Harlequin Books,English,4.19 x 6.63 x 1.09 Inches,,
