Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"The Alchemist Paperback – Deckle Edge, April 15, 2014",10.35,Books > Literature & Fiction > Literary,Paulo Coelho,62315005,208,"HarperOne; Anniversary edition (April 15, 2014)",English,5.3 x 0.5 x 8 inches,4.8 ounces,4.6
"The Last Jedi: Expanded Edition (Star Wars) Hardcover – March 6, 2018",17.39,Books > Literature & Fiction > Genre Fiction,Jason Fry,1524797111,,"Del Rey (March 6, 2018)",English,6.4 x 1.2 x 9.5 inches,1.2 pounds,3.9
"A Spark of Light: A Novel Hardcover – October 2, 2018",25.10,Books > Literature & Fiction > Genre Fiction,Jodi Picoult,345544986,,"Ballantine Books (October 2, 2018)",English,6.1 x 9.2 inches,1.2 pounds,
"Pachinko (National Book Award Finalist) Paperback – November 14, 2017",12.35,Books > Literature & Fiction > Genre Fiction,Min Jin Lee,1455563927,512,"Grand Central Publishing; Reprint edition (November 14, 2017)",English,5.2 x 1.3 x 8 inches,12 ounces,4.4
"The Kremlin Conspiracy Hardcover – March 6, 2018",18.29,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Joel C. Rosenberg,1496406176,,"Tyndale House Publishers, Inc. (March 6, 2018)",English,5.8 x 1.7 x 9.1 inches,1.6 pounds,4.8
"The Nightingale: A Novel Paperback – April 25, 2017",11.59,Books > Literature & Fiction > Genre Fiction,Kristin Hannah,1250080401,608,"St. Martin's Griffin; Reprint edition (April 25, 2017)",English,5.5 x 1.6 x 8.3 inches,1.1 pounds,4.8
"The Immortalists Hardcover – January 9, 2018",17.16,Books > Literature & Fiction > Genre Fiction,Chloe Benjamin,735213186,,"G.P. Putnam's Sons; First Edition edition (January 9, 2018)",English,6.2 x 1.1 x 9.3 inches,15.4 ounces,4
"Milk and Vine: Inspirational Quotes From Classic Vines Paperback – October 22, 2017",3.59,Books > Humor & Entertainment > Humor,Adam Gasiewski Emily Beck,1973124262,77,"Independently published (October 22, 2017)",English,6 x 0.2 x 9 inches,4.2 ounces,3.9
"Origin: A Novel Hardcover – October 3, 2017",16.77,Books > Literature & Fiction > Action & Adventure,Dan Brown,385514239,,"Doubleday; 1st Edition edition (October 3, 2017)",English,6.3 x 1.6 x 9.6 inches,1.7 pounds,4.2
"We Were the Lucky Ones: A Novel Paperback – January 2, 2018",8.97,Books > Literature & Fiction > Genre Fiction,Georgia Hunter,399563091,416,"Penguin Books; Reprint edition (January 2, 2018)",English,5.4 x 0.9 x 8.2 inches,11.4 ounces,4.8
"Fahrenheit 451 Paperback – January 10, 2012",9.99,Books > Politics & Social Sciences > Politics & Government,Ray Bradbury,1451673310,249,"Simon & Schuster; Reissue edition (January 10, 2012)",English,5.5 x 0.9 x 8.4 inches,6.2 ounces,4.4
"Sing, Unburied, Sing: A Novel Hardcover – September 5, 2017",14.79,Books > Literature & Fiction > Genre Fiction,Jesmyn Ward,1501126067,,"Scribner; First Edition/First Printing edition (September 5, 2017)",English,5.5 x 1.2 x 8.4 inches,1 pounds,4.4
"Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance Hardcover – November 18, 2014",31.50,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374261172,,"FSG Originals; First Edition edition (November 18, 2014)",English,6.6 x 1.8 x 8.5 inches,1.5 pounds,3.7
"1984 (Signet Classics) Mass Market Paperback – Unabridged, July 1, 1950",6.17,Books > Humor & Entertainment > Humor,George Orwell,451524934,328,"Signet Classic (January 1, 1961)",English,4.2 x 0.9 x 7.5 inches,8.5 ounces,4.5
"Dungeon Master's Screen Reincarnated Book Supplement – September 19, 2017",10.71,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,078696619X,,"Wizards of the Coast; Brdgm edition (September 19, 2017)",English,8.5 x 0.4 x 10.8 inches,13.4 ounces,4.7
"Burn Bright (Alpha and Omega) Hardcover – March 6, 2018",16.20,Books > Science Fiction & Fantasy > Fantasy,Patricia Briggs,425281310,,"Ace (March 6, 2018)",English,6.4 x 1 x 9.3 inches,1.1 pounds,4.7
"Altered Carbon (Takeshi Kovacs) Paperback – March 4, 2003",12.98,Books > Science Fiction & Fantasy > Science Fiction,Richard K. Morgan,345457684,375,"Del Rey; 1st edition (March 4, 2003)",English,6.1 x 0.9 x 9.2 inches,12.8 ounces,4.3
"Authority: A Novel (The Southern Reach Trilogy) Paperback – May 6, 2014",13.39,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374104107,352,"FSG Originals; First Printing edition (May 6, 2014)",English,5 x 0.9 x 7.5 inches,8.8 ounces,3.6
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback – October 29, 2013",32.49,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,345535529,5216,"Bantam; Media Tie In edition (October 29, 2013)",English,8 x 4.5 x 7 inches,5.1 pounds,4.7
"The Power Hardcover – October 10, 2017",20.87,Books > Literature & Fiction > Genre Fiction,Naomi Alderman,316547611,,"Little, Brown and Company; F First Edition edition (October 10, 2017)",English,6 x 1.2 x 8.6 inches,1.1 pounds,4
"Artemis: A Novel Hardcover – November 14, 2017",16.63,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Andy Weir,553448129,,"Crown; F First Edition edition (November 14, 2017)",English,6.4 x 1.1 x 9.5 inches,1.2 pounds,3.9
"Acceptance: A Novel (The Southern Reach Trilogy) Paperback – September 2, 2014",13.24,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374104115,352,"FSG Originals; First Edition edition (September 2, 2014)",English,5.1 x 0.9 x 7.5 inches,8.8 ounces,3.4
"Uncompromising Honor (Honor Harrington) Hardcover – October 2, 2018",23.71,Books > Science Fiction & Fantasy > Science Fiction,David Weber,1481483501,,"Baen (October 2, 2018)",English,6.1 x 9.2 inches,1.7 pounds,
"The Alice Network: A Novel Paperback – Deckle Edge, June 6, 2017",10.70,Books > Literature & Fiction > Genre Fiction,Kate Quinn,62654195,528,"William Morrow Paperbacks (June 6, 2017)",English,5.3 x 0.8 x 8 inches,12.8 ounces,4.7
"The Fallen (Memory Man series) Hardcover – April 17, 2018",18.14,Books > Literature & Fiction > Action & Adventure,David Baldacci,1538761394,,"Grand Central Publishing (April 17, 2018)",English,1.1 x 1.1 inches,1.7 pounds,
"Eleanor Oliphant Is Completely Fine: A Novel Hardcover – May 9, 2017",18.16,Books > Literature & Fiction > Women's Fiction,Gail Honeyman,735220689,,"Pamela Dorman Books; F First Edition edition (May 9, 2017)",English,6.3 x 1.2 x 9.3 inches,1.2 pounds,4.7
"The Punishment She Deserves: A Lynley Novel Hardcover – March 20, 2018",18.30,"Books > Mystery, Thriller & Suspense > Mystery",Elizabeth George,525954341,,"Viking (March 20, 2018)",English,6.4 x 2 x 9.6 inches,2.2 pounds,5
"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row Hardcover – January 22, 2018",19.43,Books > Biographies & Memoirs > True Crime,James Patterson Alex Abramovich Mike Harvkey,316412651,,"Little, Brown and Company (January 22, 2018)",English,6.5 x 1.4 x 9.5 inches,1.4 pounds,4.2
"Everything I Never Told You Paperback – May 12, 2015",12.80,Books > Literature & Fiction > Genre Fiction,Celeste Ng,143127551,297,"Penguin Books; Reprint edition (May 12, 2015)",English,5.1 x 0.6 x 7.8 inches,8 ounces,4.1
"Palace of Treason: A Novel (The Red Sparrow Trilogy) Paperback – June 13, 2017",9.34,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,147679376X,496,"Scribner; Reprint edition (June 13, 2017)",English,5.2 x 1 x 8 inches,13.4 ounces,4.6
"The Rooster Bar Hardcover – October 24, 2017",15.28,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,385541171,,"Doubleday; 1st Edition edition (October 24, 2017)",English,6.4 x 1.2 x 9.5 inches,1.4 pounds,3.7
"Holy Ghost Hardcover – October 2, 2018",26.10,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Sandford,735217327,,"G.P. Putnam's Sons (October 2, 2018)",English,6 x 1.2 x 9 inches,1.4 pounds,
"Lord of the Flies Mass Market Paperback – Antique Books, December 16, 2003",8.89,Books > Literature & Fiction > Genre Fiction,William Golding,399501487,224,"Penguin Books; Reissue edition (December 16, 2003)",English,4.2 x 0.6 x 7.6 inches,4 ounces,4.2
"The Masterpiece Hardcover – February 6, 2018",17.10,Books > Christian Books & Bibles > Literature & Fiction,Francine Rivers,1496407903,,"Tyndale House Publishers, Inc. (February 6, 2018)",English,5.7 x 1.8 x 8.9 inches,1.6 pounds,4.8
"The Wife Between Us: A Novel Hardcover – January 9, 2018",16.19,Books > Literature & Fiction > Women's Fiction,Greer Hendricks Sarah Pekkanen,1250130921,,"St. Martin's Press (January 9, 2018)",English,6.4 x 1.3 x 9.6 inches,1.2 pounds,4.2
"To Kill a Mockingbird Paperback – July 5, 2005",8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336,Harper Perennial Modern Classics (2002),English,5.2 x 1 x 8.2 inches,9 ounces,4.7
