_id,ltable_id,rtable_id,ltable_Name,ltable_Sale Price,ltable_Category,ltable_Author,ltable_ISBN10,ltable_Pages,ltable_Publisher,ltable_Language,ltable_Dimensions,ltable_Weight,ltable_Rating,rtable_Name,rtable_Sale Price,rtable_Category,rtable_Author,rtable_ISBN10,rtable_Pages,rtable_Publisher,rtable_Language,rtable_Dimensions,rtable_Weight,rtable_Rating,gold_labels
8,16,1620,Altered Carbon Takeshi Kovacs,12.98,Books > Science Fiction & Fantasy > Science Fiction,Richard K. Morgan,345457684,375.0,Del Rey; 1st edition ,English,6.1 x 0.9 x 9.2 inches,12.8 ounces,4.3,Altered Carbon,12.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,"Morgan, Richard K.",5457682,375.0,Random House Inc,English,9.50 x 6.00 x 0.75 Inches,,,1
32,25,512,Eleanor Oliphant Is Completely Fine,18.16,Books > Literature & Fiction > Women's Fiction,Gail Honeyman,735220689,,Pamela Dorman Books; F First Edition edition ,English,6.3 x 1.2 x 9.3 inches,1.2 pounds,4.7,Eleanor Oliphant Is Completely Fine ,18.16,Books > Literature & Fiction > Fiction > Contemporary Women,Gail Honeyman,5220685,336.0,Penguin Publishing GroupPamela Dorman Books,English,,,,1
38,35,1118,To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336.0,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,4.7,To Kill a Mockingbird,7.56,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 45 >  > in > Books > # > 7 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > African-American,"LEE, HARPER",631078X,384.0,Grand Central Pub,English,6.50 x 4.00 x 1.00 Inches,,4.7,1
41,35,2355,To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336.0,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,4.7,TO KILL A MOCKINGBIRD,8.99,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 3061 >  > in > Books > # > 232 >  > in > Books > Literature & Fiction > # > 18 >  > in > Books > Literature & Fiction > Literary,"LEE, HARPER",1120082,336.0,HarperCollins,English,8.00 x 5.50 x 1.00 Inches,,3.0,1
44,38,2066,The Handmaid's Tale Paperback ,9.59,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,038549081X,311.0,Anchor; 1st Anchor Books edition ,English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1,HANDMAID'S TALE,9.59,Books > Walmart Best Sellers > Best seller ranking: > # > 5401 >  > in > Books > # > 447 >  > in > Books > Literature & Fiction > # > 31 >  > in > Books > Literature & Fiction > Literary,"ATWOOD, MARGARET",038549081X,336.0,Random House Inc,English,8.00 x 5.25 x 0.75 Inches,,4.5,1
46,39,823,The Great Gatsby Paperback ,10.49,Books > Literature & Fiction > Classics,F. Scott Fitzgerald,743273567,180.0,Scribner ,English,5.2 x 0.4 x 8 inches,5.6 ounces,4.3,GREAT GATSBY,10.48,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 196 >  > in > Books > # > 16 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > Classics,F. Scott Fitzgerald,3273562,192.0,Scribner,English,203.20 x 5.25 x 0.40 Millimeters,,4.8333,1
47,40,737,Still Me,17.7,Books > Literature & Fiction > Genre Fiction,Jojo Moyes,399562451,,Pamela Dorman Books ,English,6.4 x 1.3 x 9.3 inches,1.4 pounds,4.7,Still Me,16.2,Books > Literature & Fiction > Fiction > Contemporary Women,Jojo Moyes,399562451,400.0,Penguin Publishing GroupPamela Dorman Books,English,9.00 x 6.00 x 1.00 Inches (US),,,1
55,45,1497,The Hobbit and the Lord of the Rings the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback ,22.99,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,345538374,1728.0,Del Rey ,English,4.2 x 4.3 x 7 inches,2 pounds,4.7,The Hobbit and The Lord of the Rings,27.47,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 574 >  > in > Books > # > 42 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Fantasy,J.R.R. Tolkien,4445786,1504.0,Houghton Mifflin Harcourt,English,5.88 x 107.95 x 3.76 Inches (US),,4.0,0
58,49,2159,Chronicles of Narnia Box Set Paperback ,30.64,Books > Children's Books > Science Fiction & Fantasy,C. S. Lewis,61992887,,HarperCollins Narnia; Media Tie In edition ,English,4.3 x 4.3 x 7 inches,1.6 pounds,4.7,The Chronicles of Narnia (Paperback),29.07,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Lewis, C. S.",7117302,,,,,,,0
60,50,1335,Brave New World Paperback ,12.99,Books > Science Fiction & Fantasy > Science Fiction,Aldous Huxley,60850523,288.0,Harper Perennial; Reprint edition ,English,5.3 x 0.6 x 8 inches,5.6 ounces,4.2,Brave New World,12.95,Books > Literature & Fiction > Fiction > Classics,"Huxley, Aldous",2696125,259.0,HarperCollins,English,9.00 x 6.00 x 1.00 Inches,,,1
68,57,1815,It,12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184.0,Scribner; Media Tie-In edition ,English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5,It ,16.28,Books > Literature & Fiction > Fiction > Horror,Stephen King,1142970,1168.0,Scribner,,8.38 x 139.70 x 2.00 Inches (US),,5.0,1
69,57,2380,It,12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184.0,Scribner; Media Tie-In edition ,English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5,It ,16.35,Books > Walmart Best Sellers,Stephen King,1501175467,1184.0,Scribner,English,8.38 x 139.70 x 2.40 Inches (US),,5.0,1
71,59,1143,The Couple Next Door,12.8,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,735221103,336.0,Penguin Books; Reprint edition ,English,5.2 x 0.6 x 8 inches,8 ounces,4.1,The Couple Next Door ,13.25,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime",Shari Lapena,5221102,336.0,Penguin BooksPenguin Publishing Group,English,,,5.0,1
75,63,1138,Look for Me D. D. Warren,16.56,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,1524742058,,Dutton ,English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3,Look for Me,15.64,Books > Mother's Day Books > Mother's Day Literature & Fiction Books,Lisa Gardner,1524742058,400.0,DuttonPenguin Publishing Group,English,9.00 x 6.00 x 1.00 Inches (US),,,1
76,63,1460,Look for Me D. D. Warren,16.56,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,1524742058,,Dutton ,English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3,Look for Me,21.92,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","Gardner, Lisa",525589236,530.0,Random House Inc,English,9.25 x 6.25 x 1.25 Inches,,,1
83,68,1659,Big Little Lies Paperback ,12.78,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Liane Moriarty,425274861,512.0,Berkley; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,1.6 pounds,4.5,Big Little Lies,15.79,Books > Literature & Fiction > Fiction > Contemporary Women > Best seller ranking: > # > 6408 >  > in > Books > # > 544 >  > in > Books > Literature & Fiction > # > 14 >  > in > Books > Literature & Fiction > Contemporary Women,Liane Moriarty,9167065,480.0,BerkleyPenguin Publishing Group,English,9.31 x 6.31 x 1.50 Inches (US),,5.0,1
86,70,1503,Lincoln in the Bardo,10.7,Books > Literature & Fiction > Genre Fiction,George Saunders,812985400,368.0,Random House Trade Paperbacks; Reprint edition ,English,5.5 x 0.8 x 8.2 inches,11.4 ounces,3.6,Lincoln in the Bardo,10.7,Books > Literature & Fiction > Fiction > Historical,"Saunders, George",812985400,350.0,Random House Inc,English,8.00 x 5.00 x 0.75 Inches,,,1
98,85,2432,Armada,12.8,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ernest Cline,804137277,384.0,Broadway Books; Reprint edition ,English,5.2 x 0.8 x 8 inches,13.6 ounces,3.6,Armada,13.32,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Cline, Ernest",4137277,372.0,Random House Inc,,5.50 x 8.00 x 0.75 Inches,,,1
100,90,1680,The 17th Suspect Women's Murder Club,18.9,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316274046,,"Little, Brown and Company ",English,1.1 x 1.1 inches,1.7 pounds,4.5,The 17th Suspect,20.28,Books > Mother's Day Books > Mother's Day Gift Guide Books,James Patterson,316274046,368.0,"Little, Brown and Company",English,,,,1
111,94,199,The Long Way Home,13.73,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250022053,400.0,Minotaur Books; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,12 ounces,4.2,The Long Way Home,13.73,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Traditional",Louise Penny,22050,400.0,St. Martin's PressMinotaur Books,English,208.03 x 5.47 x 27.18 Millimeters,,,1
113,97,1314,Claws for Concern Cat in the Stacks Mystery,17.1,"Books > Mystery, Thriller & Suspense > Mystery",Miranda James,042527778X,,Berkley ,English,6.4 x 1 x 9.3 inches,1 pounds,4.6,Claws for Concern,19.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Miranda James,042527778X,288.0,BerkleyPenguin Publishing Group,English,,,,1
119,105,503,The Wise Man's Fear Kingkiller Chronicle,6.8,Books > Literature & Fiction > Action & Adventure,Patrick Rothfuss,756407915,1120.0,DAW; Reissue edition ,English,4.2 x 1.9 x 6.8 inches,1.1 pounds,4.6,The Wise Man's Fear,6.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 4634 >  > in > Books > # > 359 >  > in > Books > Literature & Fiction > # > 36 >  > in > Books > Literature & Fiction > Fantasy,Patrick Rothfuss,6407915,1120.0,DAW,English,6.75 x 4.19 x 1.81 Inches (US),,5.0,0
129,123,2309,The Outlandish Companion Revised and Updated,27.19,Books > Literature & Fiction > History & Criticism,Diana Gabaldon,1101887273,,"Delacorte Press; Revised, Updated edition ",English,7.4 x 1.9 x 9.6 inches,2.1 pounds,4.7,The Outlandish Companion,25.17,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 4477 >  > in > Books > # > 65 >  > in > Books > General,Diana Gabaldon,1887270,608.0,Delacorte,English,9.50 x 7.50 x 2.00 Inches,,5.0,0
132,134,284,Truly Madly Guilty Paperback ,13.59,Books > Literature & Fiction > Genre Fiction,Liane Moriarty,1250069807,544.0,Flatiron Books; Reprint edition ,English,5.5 x 1.4 x 8.2 inches,1 pounds,3.6,Truly Madly Guilty,13.89,Books > Literature & Fiction > Fiction > Family Life,Liane Moriarty,1250069807,544.0,Flatiron Books,English,8.16 x 5.54 x 36.58 Inches (US),,,1
140,137,871,The People vs. Alex Cross Hardcover ,17.34,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316273902,,"Little, Brown and Company ",English,6.4 x 1.4 x 9.6 inches,1.9 pounds,4.7,The People vs. Alex Cross,17.34,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime",James Patterson,316273902,432.0,"Little, Brown and Company",English,9.62 x 6.38 x 1.38 Inches (US),,,1
141,137,931,The People vs. Alex Cross Hardcover ,17.34,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316273902,,"Little, Brown and Company ",English,6.4 x 1.4 x 9.6 inches,1.9 pounds,4.7,"Alex Cross, Run",12.42,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 8336 >  > in > Books > # > 751 >  > in > Books > Literature & Fiction > # > 143 >  > in > Books > Literature & Fiction > General",James Patterson,5521506,432.0,Grand Central Publishing,English,8.00 x 5.25 x 1.12 Inches (US),,,0
153,159,1480,Gwendy's Button Box,11.59,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King Richard Chizmar,1501188291,176.0,Gallery Books; Reprint edition ,English,5.3 x 0.4 x 8.2 inches,5 ounces,4.3,Gwendy's Button Box,12.61,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Supernatural",Richard Chizmar Stephen King,1501188291,176.0,Gallery Books,English,8.25 x 5.31 x 0.40 Inches (US),,,1
163,161,1071,The Medical Examiner,4.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson Maxine Paetro,316504823,144.0,BookShots ,English,5 x 0.4 x 7 inches,5 ounces,4.1,The Medical Examiner,3.93,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime",James Patterson Maxine Paetro,316504823,144.0,"BookShotsLittle, Brown and Company",English,,,,1
168,180,374,The Color of Magic Discworld,7.78,Books > Literature & Fiction > Action & Adventure,Terry Pratchett,62225677,288.0,Harper; Reissue edition ,English,4.2 x 0.6 x 7.5 inches,5.6 ounces,4.3,The Color of Magic,7.78,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Pratchett, Terry",2225675,277.0,HarperCollins,English,7.75 x 4.25 x 0.75 Inches,,,0
177,201,942,The Ultimate Hitchhiker's Guide to the Galaxy Paperback ,13.59,Books > Literature & Fiction > British & Irish,Douglas Adams,345453743,832.0,Del Rey ,English,6.1 x 1.4 x 9.2 inches,1.7 pounds,4.5,HITCHHIKERS GUIDE TO THE GALAXY,12.59,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Adams, Douglas",,,Pan Macmillan,,,,,0
179,201,997,The Ultimate Hitchhiker's Guide to the Galaxy Paperback ,13.59,Books > Literature & Fiction > British & Irish,Douglas Adams,345453743,832.0,Del Rey ,English,6.1 x 1.4 x 9.2 inches,1.7 pounds,4.5,The Hitchhiker's Guide to the Galaxy,12.91,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Fry, Stephen Adams, Douglas",804191859,,Random House,English,5.00 x 6.00 x 1.25 Inches,,,0
186,207,519,Red Rising Paperback ,10.2,Books > Science Fiction & Fantasy > Science Fiction,Pierce Brown,034553980X,416.0,Del Rey; Reprint edition ,English,5.5 x 0.9 x 8.2 inches,9.6 ounces,4.6,Red Rising,9.94,Books > Literature & Fiction > Fiction > Action & Adventure,"Brown, Pierce",034553980X,400.0,Random House Inc,English,8.25 x 5.50 x 1.00 Inches,,,1
188,213,75,Camino Island,7.79,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,1524797154,368.0,Dell; Reprint edition ,English,4.2 x 0.9 x 7.6 inches,6.7 ounces,3.9,CAMINO ISLAND,9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GRISHAM, JOHN",1524797154,368.0,,,,,,1
192,220,157,The Left Hand of Darkness Mass Market Paperback ,8.99,Books > Science Fiction & Fantasy > Fantasy,Ursula K. Le Guin,441478123,304.0,Ace Books; 1st edition ,English,4.2 x 0.9 x 7.5 inches,5.6 ounces,4.2,The Left Hand of Darkness,8.99,Books > Literature & Fiction > Fiction > Classics,Ursula K. Le Guin,1478122,352.0,AcePenguin Publishing Group,English,,,,0
194,223,162,Do Androids Dream of Electric Sheep?,12.69,Books > Comics & Graphic Novels > Graphic Novels,Philip K. Dick,345404475,240.0,Del Rey ,English,5.5 x 0.5 x 8.2 inches,6.4 ounces,4.3,Do Androids Dream of Electric Sheep?,12.69,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Philip K. Dick,5404473,256.0,Ballantine Books,English,8.25 x 5.25 x 0.75 Inches,,,1
196,227,192,The Name of the Wind Mass Market Paperback ,9.94,Books > Science Fiction & Fantasy > Fantasy,Patrick Rothfuss,756404746,722.0,DAW Books ,English,4.2 x 1.5 x 6.8 inches,12 ounces,4.6,The Name of the Wind,9.94,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 3251 >  > in > Books > # > 248 >  > in > Books > Literature & Fiction > # > 26 >  > in > Books > Literature & Fiction > Fantasy,Patrick Rothfuss,6404741,736.0,DAW,English,6.80 x 4.20 x 1.54 Inches (US),,5.0,0
201,228,910,American Gods,10.5,Books > Literature & Fiction > Action & Adventure,Neil Gaiman,62572237,576.0,"William Morrow Paperbacks; Anniversary, Media Tie In edition ",English,5.3 x 0.9 x 8 inches,15.2 ounces,4.3,AMERICAN GODS TV TIE IN,10.5,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,"GAIMAN, NEIL",2572233,576.0,Harpercollins,English,5.50 x 8.00 x 1.00 Inches,,,1
