_id,ltable_id,rtable_id,ltable_Name,ltable_Author,ltable_ISBN10,rtable_Name,rtable_Author,rtable_ISBN10,gold_labels
47,719,10,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 11 (light novel) (Is It Wrong to Pick Up Girls in a Dungeon?) Paperback – April 24, 2018",Fujino Omori,031644247X,Is It Wrong to Try to Pick Up Girls in a Dungeon? on the Side 4,Fujino Omori,316318221,0
48,866,10,"Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side: Sword Oratoria, Vol. 5 (light novel) Paperback – February 27, 2018",Fujino Omori,031644250X,Is It Wrong to Try to Pick Up Girls in a Dungeon? on the Side 4,Fujino Omori,316318221,0
162,849,24,"A is for Alibi (Kinsey Millhone Alphabet Mysteries, No. 1) Paperback – September 30, 2008",Sue Grafton,312353812,"""A"" Is for Alibi: A Kinsey Millhone Mystery",Sue Grafton,2353814,1
165,455,27,"The Cold Dish: A Longmire Mystery Paperback – May 30, 2012",Craig Johnson,143123173,Death Without Company : A Longmire Mystery,Craig Johnson,3124817,0
169,1191,27,"Depth of Winter: A Longmire Mystery Hardcover – September 4, 2018",Craig Johnson,525522476,Death Without Company : A Longmire Mystery,Craig Johnson,3124817,0
176,1758,27,"As the Crow Flies: A Longmire Mystery Paperback – May 28, 2013",Craig Johnson,143123297,Death Without Company : A Longmire Mystery,Craig Johnson,3124817,0
196,1031,28,"The Hard Way (Jack Reacher) Mass Market Paperback – May 19, 2009",Lee Child,440246008,Gone Tomorrow: (Jack Reacher 13) (Audio CD),"Child, Lee, Shale, Kerry",184657160X,0
198,1062,28,"Lee Child Jack Reacher Books 1-3 Mass Market Paperback – November 6, 2012",Lee Child,515154113,Gone Tomorrow: (Jack Reacher 13) (Audio CD),"Child, Lee, Shale, Kerry",184657160X,0
208,437,31,"The Fellowship of the Ring: Being the First Part of The Lord of the Rings Paperback – September 18, 2012",J.R.R. Tolkien,547928211,The Lord of the Rings : 50th Anniversary Edition,J.R.R. Tolkien,851765X,0
223,2090,33,"The Family Business 3: A Family Business Novel Mass Market Paperback – September 26, 2017",Carl Weber,1622865707,GRAND OPENING 2: A FAMILY BUSINESS NOVEL -- AA,"WEBER, CARL",1622866045,0
437,333,66,"The Western Star: A Longmire Mystery Hardcover – September 5, 2017",Craig Johnson,525426957,The Walt Longmire Mystery Series Boxed Set Volumes 1-4,Craig Johnson,7508775,0
587,1582,84,The Lands of Ice and Fire (A Game of Thrones): Maps from King's Landing to Across the Narrow Sea,George R. R. Martin,345538544,A Game of Thrones,"Martin, George R. R.",3103540,0
674,1840,94,"Hope to Die (Alex Cross) Mass Market Paperback – September 29, 2015",James Patterson,1455515833,HOPE TO DIE,James Patterson,5515838,1
792,118,106,"The Skaar Invasion (The Fall of Shannara) Hardcover – June 19, 2018",Terry Brooks,553391518,The Sword of Shannara,"Brooks, Terry",5314254,0
802,1613,109,"An Echo of Things to Come (The Licanius Trilogy) Hardcover – August 22, 2017",James Islington,316274119,An Echo of Things to Come,James Islington,316274119,1
856,1813,116,"One Year After: A John Matherson Novel Mass Market Paperback – June 28, 2016",William R. Forstchen,765376717,ONE SECOND AFTER,William R. Forstchen,5356865,0
1020,1700,143,"Rule of Two (Star Wars: Darth Bane, Book 2) Mass Market Paperback – October 28, 2008",Drew Karpyshyn,345477499,Star Wars: Darth Bane: Dynasty of Evil,"Karpyshyn, Drew",345511573,0
1030,2809,146,"Me Before You and After You Boxed Set Paperback – October 25, 2016",Jojo Moyes,143131001,After You : A Novel,Jojo Moyes,3108863,0
1157,90,172,"The 17th Suspect (Women's Murder Club) Hardcover – April 30, 2018",James Patterson,316274046,10th Anniversary: (Women's Murder Club 10) (Paperback),"Patterson, James",99525372,0
1173,1251,172,"Murder Beyond the Grave (James Patterson's Murder Is Forever) Paperback – February 6, 2018",James Patterson,1538744821,10th Anniversary: (Women's Murder Club 10) (Paperback),"Patterson, James",99525372,0
1188,2209,172,"2nd Chance (Women's Murder Club) Paperback – May 20, 2005",James Patterson,446696633,10th Anniversary: (Women's Murder Club 10) (Paperback),"Patterson, James",99525372,0
